Flight_No,Serial_Number,Orbit,Payload_Mass,Launchoutcome,Landing,Longitude,Latitude,Reused,FlightCount,GridFins,Legs,Day,Month,Year,"Launchsite_Cape Canaveral, SLC-40","Launchsite_Kennedy, LC-39A","Launchsite_Vandenberg, SLC-4E",Block_B4,Block_B5,Block_FT,Block_v1.0,Block_v1.1,Booster_Version_F9 B4,Booster_Version_F9 B5,Booster_Version_F9 FT,Booster_Version_F9 v1.0,Booster_Version_F9 v1.1
3,0,5,525,1,0,-80.577366,28.561857,0,1,0,0,1,5,2012,1,0,0,0,0,0,1,0,0,0,0,1,0
5,2,5,4877,1,0,-80.577366,28.561857,0,1,0,0,4,3,2013,1,0,0,0,0,0,1,0,0,0,0,1,0
6,3,9,500,1,0,-120.610829,34.632093,0,1,0,0,6,9,2013,0,0,1,0,0,0,0,1,0,0,0,0,1
7,4,2,3170,1,0,-80.577366,28.561857,0,1,0,0,1,12,2013,1,0,0,0,0,0,0,1,0,0,0,0,1
8,5,2,3325,1,0,-80.577366,28.561857,0,1,0,0,0,1,2014,1,0,0,0,0,0,0,1,0,0,0,0,1
9,6,5,2296,1,0,-80.577366,28.561857,0,1,0,1,4,4,2014,1,0,0,0,0,0,0,1,0,0,0,0,1
10,7,5,1316,1,0,-80.577366,28.561857,0,1,0,1,0,7,2014,1,0,0,0,0,0,0,1,0,0,0,0,1
11,8,2,4535,1,0,-80.577366,28.561857,0,1,0,0,1,8,2014,1,0,0,0,0,0,0,1,0,0,0,0,1
12,10,2,4428,1,0,-80.577366,28.561857,0,1,0,0,6,9,2014,1,0,0,0,0,0,0,1,0,0,0,0,1
13,9,5,2216,1,0,-80.577366,28.561857,0,1,0,0,6,9,2014,1,0,0,0,0,0,0,1,0,0,0,0,1
14,11,5,2395,1,0,-80.577366,28.561857,0,1,1,1,5,1,2015,1,0,0,0,0,0,0,1,0,0,0,0,1
15,12,13,570,1,0,-80.577366,28.561857,0,1,1,1,2,2,2015,1,0,0,0,0,0,0,1,0,0,0,0,1
17,14,5,1898,1,0,-80.577366,28.561857,0,1,1,1,1,4,2015,1,0,0,0,0,0,0,1,0,0,0,0,1
