Flight_No,Serial_Number,Booster_Version,Date,Time,Customer,Orbit,Payload_Mass,Launchsite,Launchoutcome,Landing,Longitude,Latitude,Reused,FlightCount,Block,GridFins,Legs,Day,Month,Year,Serial_Number_Encoded,Orbit_Encoded,Booster_Version_Encoded,Launchsite_Encoded,Block_Encoded,Reused_Encoded,marker_color
3,B0005,F9 v1.0,2012-05-22,07:44:00,NASA,LEO,525.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,v1.0,0.0,0.0,1,5,2012,0,5,3,0,3,0,green
4,B0006,F9 v1.0,2012-10-08,00:35:00,NASA,LEO,4700.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,v1.0,0.0,0.0,0,10,2012,1,5,3,0,3,0,green
5,B0007,F9 v1.0,2013-03-01,15:10:00,NASA,LEO,4877.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,v1.0,0.0,0.0,4,3,2013,2,5,3,0,3,0,green
6,B1003,F9 v1.1,2013-09-29,16:00:00,MDA,Polar orbit LEO,500.0,"Vandenberg, SLC-4E",1,0,-120.610829,34.632093,False,1,v1.1,0.0,0.0,6,9,2013,3,9,4,2,4,0,green
7,B1004,F9 v1.1,2013-12-03,22:41:00,SES,GTO,3170.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,v1.1,0.0,0.0,1,12,2013,4,2,4,0,4,0,green
8,B1005,F9 v1.1,2014-01-06,22:06:00,Thaicom,GTO,3325.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,v1.1,0.0,0.0,0,1,2014,5,2,4,0,4,0,green
9,B1006,F9 v1.1,2014-04-18,19:25:00,NASA,LEO,2296.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,v1.1,0.0,1.0,4,4,2014,6,5,4,0,4,0,green
10,B1007,F9 v1.1,2014-07-14,15:15:00,Orbcomm,LEO,1316.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,v1.1,0.0,1.0,0,7,2014,7,5,4,0,4,0,green
11,B1008,F9 v1.1,2014-08-05,08:00:00,AsiaSat,GTO,4535.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,v1.1,0.0,0.0,1,8,2014,8,2,4,0,4,0,green
12,B1011,F9 v1.1,2014-09-07,05:00:00,AsiaSat,GTO,4428.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,v1.1,0.0,0.0,6,9,2014,10,2,4,0,4,0,green
13,B1010,F9 v1.1,2014-09-21,05:52:00,NASA,LEO,2216.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,v1.1,0.0,0.0,6,9,2014,9,5,4,0,4,0,green
14,B1012,F9 v1.1,2015-01-10,09:47:00,NASA,LEO,2395.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,v1.1,1.0,1.0,5,1,2015,11,5,4,0,4,0,green
15,B1013,F9 v1.1,2015-02-11,23:03:00,"USAF
NASA
NOAA",Sun–Earth L1 insertion,570.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,v1.1,1.0,1.0,2,2,2015,12,13,4,0,4,0,green
16,B1014,F9 v1.1,2015-03-02,03:50:00,"ABS
Eutelsat",GTO,4159.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,v1.1,0.0,0.0,0,3,2015,13,2,4,0,4,0,green
17,B1015,F9 v1.1,2015-04-14,20:10:00,NASA,LEO,1898.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,v1.1,1.0,1.0,1,4,2015,14,5,4,0,4,0,green
18,B1016,F9 v1.1,2015-04-27,23:03:00,Turkmenistan NationalSpace Agency,GTO,4707.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,v1.1,0.0,0.0,0,4,2015,15,2,4,0,4,0,green
19,B1018,F9 v1.1,2015-06-28,14:21:00,NASA,LEO,1952.0,"Cape Canaveral, SLC-40",0,0,-80.577366,28.561857,False,1,v1.1,1.0,1.0,6,6,2015,17,5,4,0,4,0,red
20,B1019,F9 FT,2015-12-22,01:29:00,Orbcomm,LEO,2034.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,False,1,FT,1.0,1.0,1,12,2015,18,5,2,0,2,0,green
21,B1017,F9 v1.1,2016-01-17,18:42:00,"NASA 
NOAA
CNES",LEO,553.0,"Vandenberg, SLC-4E",1,0,-120.610829,34.632093,False,1,v1.1,1.0,1.0,6,1,2016,16,5,4,2,4,0,green
22,B1020,F9 FT,2016-03-04,23:35:00,SES,GTO,5271.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,FT,1.0,1.0,4,3,2016,19,2,2,0,2,0,green
23,B1021,F9 FT,2016-04-08,20:43:00,NASA,LEO,3136.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,1,FT,1.0,1.0,4,4,2016,20,5,2,0,2,1,green
24,B1022,F9 FT,2016-05-06,05:21:00,SKY Perfect JSAT Group,GTO,4696.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,False,1,FT,1.0,1.0,4,5,2016,21,2,2,0,2,0,green
25,B1023,F9 FT,2016-05-27,21:39:00,Thaicom,GTO,3100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,1,FT,1.0,1.0,4,5,2016,22,2,2,0,2,1,green
26,B1024,F9 FT,2016-06-15,14:29:00,"ABS
Eutelsat",GTO,3600.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,False,1,FT,1.0,1.0,2,6,2016,23,2,2,0,2,0,green
27,B1025,F9 FT,2016-07-18,04:45:00,NASA,LEO,2257.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,1,FT,1.0,1.0,0,7,2016,24,5,2,0,2,1,green
28,B1026,F9 FT,2016-08-14,05:26:00,SKY Perfect JSAT Group,GTO,4600.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,False,1,FT,1.0,1.0,6,8,2016,25,2,2,0,2,0,green
29,B1029,F9 FT,2017-01-14,17:54:00,Iridium Communications,Polar LEO,9600.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,1,FT,1.0,1.0,5,1,2017,26,8,2,2,2,1,green
30,B1031,F9 FT,2017-02-19,14:39:00,NASA,LEO,2490.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,1,FT,1.0,1.0,6,2,2017,28,5,2,1,2,1,green
31,B1030,F9 FT,2017-03-16,06:00:00,EchoStar,GTO,5600.0,"Kennedy, LC‑39A",1,0,-80.603956,28.608058,False,1,FT,0.0,0.0,3,3,2017,27,2,2,1,2,0,green
32,B1021,F9 FT,2017-03-30,22:27:00,SES,GTO,5300.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,2,FT,1.0,1.0,3,3,2017,20,2,2,1,2,1,green
34,B1034,F9 FT,2017-05-15,23:21:00,Inmarsat,GTO,6070.0,"Kennedy, LC‑39A",1,0,-80.603956,28.608058,True,1,FT,0.0,0.0,0,5,2017,30,2,2,1,2,1,green
35,B1035,F9 FT,2017-06-03,21:07:00,NASA,LEO,2708.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,1,FT,1.0,1.0,5,6,2017,31,5,2,1,2,1,green
36,B1029,F9 FT,2017-06-23,19:10:00,Bulsatcom,GTO,3669.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,2,FT,1.0,1.0,4,6,2017,26,2,2,1,2,1,green
37,B1036,F9 FT,2017-06-25,20:25:00,Iridium Communications,LEO,9600.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,1,FT,1.0,1.0,6,6,2017,32,5,2,2,2,1,green
